City,State,Percent of households with a computer,Percent of households with high-speed Internet
Lancaster, PA,82.7,74.3
Lansing, MI,91.6,81.9
Laredo, TX,69.3,51.8
Las Cruces, NM,81.3,70.7
Las Vegas, NV,90.4,79.7
Lawrence, KS,95.7,87.6
Lawton, OK,88.4,68
Lebanon, PA,87.6,78.5
Lewiston, ID,88.8,76.5
Lewiston, ME,89.1,78.5
Lexington, KY,89.7,79.9
Lima, OH,89.3,72.8
Lincoln, NE,92.9,84.4
Little Rock, AR,87.7,73.5
Logan, UT,95.1,85.4
Longview, TX,82.8,69.2
Longview, WA,91,80.3
Los Angeles, CA,89.3,79.9
Louisville, KY,87.8,78.7
Lubbock, TX,89.9,73.9
Lynchburg, VA,84.8,68.3
Macon, GA,81.7,66.1
Madera, CA,82,68.3
Madison, WI,93.4,84.8
Manchester, NH,94.3,88.4
Manhattan, KS,93.1,83.9
Mankato, MN,93,86.1
Mansfield, OH,84.3,71.5
McAllen, TX,75.6,55.2
Medford, OR,90.7,80.7
Memphis, TN,83.9,68.1
Merced, CA,82.4,67
Miami, FL,88.1,78.2
Michigan City, IN,88.1,73.5
Midland, MI,88.7,74.9
Midland, TX,91.2,76.9
Milwaukee, WI,88.4,79
Minneapolis, MN,93.6,85.4
Missoula, MT,93.9,82
Mobile, AL,79,67.5
Modesto, CA,85.2,73.2
Monroe, LA,79.5,66.9
Monroe, MI,87.6,75.6
Montgomery, AL,86.4,76.6
Morgantown, WV,89.6,81.3
Morristown, TN,80.1,65.9
Mount Vernon, WA,91.3,81.6
Muncie, IN,87.5,75.5
Muskegon, MI,86.7,75.4
Myrtle Beach, SC,89.6,78.2
Napa, CA,94.2,85.9
Naples, FL,89.9,81.3
Nashville, TN,89.3,78.8
New Bern, NC,87.5,78.4
New Haven, CT,87.9,80.1
New Orleans, LA,84.1,72.1
New York, NY,90.1,82.6
Niles, MI,85.7,74.8
North Port, FL,90.9,79
Norwich, CT,91.8,85.8
Ocala, FL,86.7,75.1
Ocean City, NJ,89,80
Odessa, TX,88.8,80.2
Ogden, UT,95.3,86.3
Oklahoma City, OK,89.1,76.3
Olympia, WA,91.8,84.4
Omaha, NE,89.8,80.9
Orlando, FL,89.4,79.7
Oshkosh, WI,87.4,76.5
